feature,class
"[-2.0717107e+02  8.8982286e+00 -2.6900429e+01 -3.1787357e+01
 -6.8405375e+00 -1.9353073e+01  1.5052551e+01 -2.2916019e+01
  1.3483685e+01  1.5737958e+00  4.8503017e+00  1.4516020e+01
  7.9987483e+00 -7.6577969e+00  2.2812304e+01  1.8099234e-01
 -9.0576553e+00  4.2741151e+00 -8.5185490e+00 -1.8889191e+00
  8.1230297e+00 -1.1677851e+01  3.2182927e+00  1.1450893e+01
 -7.2064452e+00  7.8797145e+00  7.9075879e-01 -3.3576834e+00
  4.7604403e+00  5.6339049e+00 -1.2909017e+01  1.3253582e+01
 -7.6870842e+00  5.2455158e+00  4.2885506e-01  2.2160184e+00
 -9.1246891e+00  1.4953602e+01 -9.1206398e+00  6.4962993e+00]",clock_alarm
"[-2.3305350e+02 -2.8632780e+01 -4.5452371e+00 -1.2633370e+01
 -1.0194732e+00 -1.7392700e+01 -2.7107254e+01 -6.0109944e+00
 -1.4402570e+01 -1.2413109e+01 -1.5026862e+01  1.5440773e+01
  5.5092382e+00  1.2225520e+01  1.5375914e+01 -1.1394300e+01
 -4.5469646e+00  5.0391178e+00 -1.3792077e+00  2.2487387e+01
 -5.4523539e-02  1.8096651e+01 -3.5661817e+00  2.1539769e+00
  2.1994250e+00  1.3094149e+01 -1.4860505e+00  9.2688150e+00
  2.6186807e+00 -9.4858170e+00  7.3845786e-01  9.2767115e+00
  4.0898418e+00  1.1473457e+01 -1.2551675e+01  5.8171329e+00
  3.9835424e+00 -1.0718018e+01  9.4732428e+00  7.1922336e+00]",clock_alarm
"[-2.6632242e+02  4.3191269e+01 -4.0383663e+01  7.5491570e+01
 -7.3943703e+01  2.5412670e+01 -5.0314636e+00  4.1604698e-01
 -4.4335318e+00  1.6587044e+01 -1.0366912e+00 -4.9400363e+00
  1.3527197e+01 -2.1920677e+01  3.1129221e+01 -2.0979506e+01
 -2.4398029e+00  5.9975910e+00 -2.2754711e+01  9.9350510e+00
 -9.3592441e-01  7.2077909e+00 -8.9243841e+00  2.2202433e+01
 -7.8381824e+00  3.7172714e-01  1.4822564e+01 -8.9827948e+00
  1.1765646e+00 -1.6462955e-01  9.0988083e+00 -2.7677841e+00
 -3.7530653e+00  9.2724352e+00  9.5165801e-01 -1.5110126e+00
  7.0794344e-01  1.8904458e+00 -1.0055986e+01 -3.3380362e-01]",clock_alarm
"[-4.8846014e+02 -1.9107031e+01 -1.4685921e+01 -1.3667001e+01
 -9.0189934e+00  3.3859818e+00  5.6273441e+00 -1.6551203e+01
 -1.0294624e+01  5.2851982e+00  4.9204811e-01 -1.2576368e+01
  6.2269902e-01  4.7994456e+00 -1.0349252e+01 -1.4336272e+00
 -1.6233025e+00 -8.5766687e+00 -2.4162347e+00  1.9676684e+00
 -3.4625859e+00 -2.9650285e+00  4.4018044e+00  6.7929663e-02
 -2.8537614e+00  3.2746296e+00 -3.2085061e-01  9.2089689e-01
  6.0663903e-01  2.5303876e+00 -3.5582273e+00  2.2530351e+00
 -2.1720533e+00 -2.8631485e+00 -2.4884005e-01  1.6957468e+00
 -1.9485350e+00 -2.0713533e-01  1.5992554e-01 -4.7780481e-01]",clock_alarm
"[-400.93756      57.925472     14.138584     17.693348     29.692797
   15.386864     -4.274001     -6.246764     11.032196      1.4124819
  -23.385788     15.970904     30.031105    -28.251554     -1.7633542
   -2.5272114    -0.7534196    21.027054    -24.321632     17.094002
   23.702456    -27.50068      27.44453     -14.059618     26.894087
  -13.035557     14.38507      -3.2666943    21.415836      4.077045
  -16.544914     31.275427    -10.915643      6.8181896     0.58727163
    3.3175304     6.538761      3.238592    -17.491228     23.520437  ]",clock_alarm
"[-157.37228      29.923092      6.417582      2.3516724   -20.3809
  -33.100983    -20.637417    -23.444288     -7.761459     20.789953
   -9.050042      6.2407265    10.43868      -9.207023     -6.626337
    1.332267     -0.7712621    -8.169457      0.6331424   -19.194971
    7.022531      1.9018542   -20.823423     -8.585074      1.1908592
   -4.3681207   -19.04491       5.5730686   -19.47071      11.283196
   -6.0813212     1.1857101   -11.234211     -5.0174255   -20.941261
   -3.417007      5.4345126    -3.4946864     4.024161     -0.71207225]",clock_alarm
"[-4.61450317e+02  4.50306273e+00  4.99962425e+00  3.23999023e+01
  6.61257839e+00  2.79607162e+01  1.93364704e+00  7.61545944e+00
  1.93707676e+01  1.83659191e+01 -1.44075747e+01  1.12120991e+01
  1.97991199e+01 -3.70127845e+00  9.58188248e+00  5.03144026e+00
 -3.25265789e+00  1.82891617e+01 -1.20984964e+01  8.18365383e+00
  1.59495125e+01 -6.93831825e+00  5.64077330e+00 -5.37992418e-01
  3.77671766e+00  2.27075458e+00  3.88278317e+00  1.79083359e+00
  4.64938259e+00  6.84959292e-01 -1.26794090e+01  1.28456011e+01
 -2.81297588e+00  1.77972054e+00 -1.48135543e-01 -1.79863143e+00
  2.80634522e+00 -2.37233996e+00 -7.07407570e+00  1.01575880e+01]",clock_alarm
"[-4.17292419e+02 -2.77489777e+01 -5.57608938e+00  3.60950165e+01
  6.55816936e+00  3.69135818e+01 -1.00033455e+01 -5.52084982e-01
  1.79201851e+01  2.63937607e+01 -2.17022800e+01  1.06242561e+01
  2.26623878e+01 -1.36008768e+01  1.16234026e+01  5.11313248e+00
 -6.76425982e+00  2.32242165e+01 -1.69667072e+01  8.09327126e+00
  1.73948574e+01 -1.19287252e+01  8.32302284e+00 -3.48622489e+00
  9.55312538e+00 -2.03547764e+00  1.43347907e+00  2.57906795e+00
  4.34904194e+00  3.19831729e-01 -1.28664026e+01  1.48781128e+01
 -7.58386660e+00  1.46884930e+00 -4.47645330e+00 -2.88833946e-01
  3.51300144e+00 -3.03876311e-01 -1.11263905e+01  1.21588116e+01]",clock_alarm
"[-2.4593571e+02 -2.6034189e+01 -1.0405572e+01  2.5183399e+01
 -9.3733807e+00  6.3180790e+00 -1.1692368e+00  1.0432698e+01
  2.1050402e+01  1.6591747e+01 -1.7271147e+00 -9.4396687e+00
 -1.2455345e+00  1.1697066e+01  3.5292602e+00 -5.3255897e+00
 -4.9949068e-01  9.3224878e+00 -3.8782089e+00 -4.0186682e+00
 -1.1973430e+00  1.9617496e+01 -7.1377172e+00  1.0359032e+00
  1.6706383e+01 -4.1315074e+00 -1.0856678e+01  1.0667340e+01
 -8.3310900e+00  2.9028728e+00  1.4425515e+01 -5.0987639e+00
 -2.0147970e-01  9.8242674e+00 -7.3288584e+00  2.3765314e+00
 -3.4900364e-01 -1.1368654e+00  1.3034453e+01 -9.9236059e+00]",clock_alarm
"[-5.48521484e+02  1.47325325e+01  2.36498404e+00  1.58555412e+01
  1.22748966e+01  1.49347801e+01 -1.29327607e+00 -6.96272790e-01
  1.95544071e+01  2.91139960e+00 -1.63806763e+01  1.26216774e+01
  1.04098740e+01 -1.50596476e+01  2.75322437e+00  3.61539674e+00
 -1.28828213e-01  1.11416616e+01 -1.66863785e+01  5.92571020e+00
  1.68913651e+01 -1.25297890e+01  8.54026890e+00  1.06020904e+00
  1.26027956e+01 -3.75738406e+00  8.80997276e+00 -3.66593152e-01
  6.82018375e+00  2.19209504e+00 -6.15313721e+00  1.36734447e+01
 -3.96507382e+00  2.12712812e+00  3.37622523e+00  3.85868883e+00
  3.87203956e+00  2.39792085e+00 -5.47148991e+00  8.10791874e+00]",clock_alarm
"[-209.69778      29.394579    -97.77365      -3.4785318   -62.594845
  -36.261105    -20.48975       0.35057124  -15.929085    -16.639038
  -23.763887     -3.2930431   -29.01256      -7.9410424    15.602094
   -1.824839    -15.647904     20.853       -13.703028     -4.6557217
  -16.137003      9.222367      1.1746416    -3.7102475     7.4943295
   -4.9354615    -8.518364      2.80235     -13.360322      0.68383473
   13.961147      1.3247604    -5.849582      8.217137     -7.6140556
   -1.386675     -0.55873287   -1.6478052    11.185599     -3.3241277 ]",clock_alarm
"[-3.22842010e+02  2.76396866e+01  1.59845877e+00  3.34732590e+01
  2.31142540e+01  2.35740643e+01  8.39879704e+00  3.32906961e+00
  2.73154392e+01  7.37330627e+00 -1.47382584e+01  8.72209454e+00
  1.88961563e+01 -8.06617260e+00  9.88392448e+00  4.40716934e+00
  4.60610449e-01  1.33013115e+01 -1.08274765e+01  2.42724705e+00
  1.52524786e+01 -8.21971035e+00  6.41891384e+00 -2.05514622e+00
  3.49196076e+00  1.15611184e+00 -1.20357597e+00 -1.58909667e+00
  4.62523603e+00  1.52871418e+00 -7.14104557e+00  1.21697464e+01
 -3.92833853e+00  1.30904222e+00 -8.83981809e-02  1.25004268e+00
  3.11311603e+00  3.11207581e+00 -6.97947407e+00  5.85857344e+00]",clock_alarm
"[-5.3812878e+02  1.5930165e+01 -1.0820146e+01  2.2441969e+00
 -6.7081042e-02 -3.1661139e+00  9.6998382e-01 -9.5285170e-02
 -4.4499545e+00  2.3914089e+00  7.3230082e-01 -4.1295955e-01
 -9.4278955e-01  5.7545107e-02 -6.6501051e-01  6.1773032e-01
 -2.2594144e+00  9.4513588e-02  6.2358025e-02 -1.0905775e+00
 -6.1717104e-02  2.0902698e+00  1.0477912e-01  2.8827152e-01
  1.1469148e+00  2.4041285e-01 -9.4669849e-01  7.1525472e-01
 -9.2608839e-01  4.2549741e-01 -1.4631258e-01  7.5222272e-01
  4.3444369e-02  2.9593857e-02  3.8449770e-01 -5.6100078e-02
  1.1769438e-02 -4.0860990e-01  3.1095788e-01  2.3101364e-01]",coughing
"[-8.23460388e+02  1.43579912e+01 -3.42856437e-01  3.04653478e+00
 -1.85574138e+00 -3.13666272e+00 -3.14060628e-01  1.95104218e+00
 -6.16935432e-01  2.04030728e+00  8.51923645e-01  2.17487514e-01
 -1.00018203e+00 -1.57416895e-01  8.23967218e-01  5.68940580e-01
 -1.88814085e-02  8.16112280e-01 -4.83701348e-01 -6.67963803e-01
 -9.97509584e-02 -4.20516402e-01  6.84746802e-01  1.12041436e-01
  2.07150921e-01  4.18777615e-01 -4.15488094e-01  7.88508654e-01
 -6.94791898e-02  3.41042548e-01 -4.73713070e-01  4.96978700e-01
  2.42520255e-04 -1.05998076e-01 -1.06392317e-01  7.08021700e-01
  1.25349015e-01  3.25794667e-01  1.10466018e-01  2.63448834e-01]",coughing
"[-4.9495877e+02  4.0014912e+01  2.9520125e+00  6.6188173e+00
  1.0207707e+01  3.8653531e+00 -4.3897853e+00  1.9036189e+00
 -1.1436635e+00  3.7699122e+00  1.5345213e+00  1.4338523e+00
 -5.1058072e-01  1.5862693e+00 -4.2016244e+00  1.5474218e-01
 -4.7906044e-01 -1.6518919e+00 -6.6372257e-01 -7.2757936e-01
 -2.6158509e+00 -1.1997499e+00 -1.3073111e+00 -7.3438019e-02
 -1.8599938e+00  5.1176775e-01  3.9199445e-01  1.1493480e+00
 -1.2532649e+00 -1.6081289e-03 -6.1600029e-01  2.6814359e-01
  1.0646548e+00  7.0282352e-01 -1.5589002e-01  1.0388083e+00
 -1.3523620e-01  6.4042085e-01 -4.4580746e-01 -1.3518213e-01]",coughing
"[-4.4792896e+02  8.3991249e+01  7.8373146e+00  4.2484459e-02
 -9.0513954e+00 -3.4594679e+00 -6.3529334e+00  1.2541940e+01
 -1.2699996e+01  5.3421884e+00  1.5965108e+00 -6.9186597e+00
 -3.9375150e+00 -1.4366494e+00 -1.7346421e+00  2.9202387e+00
 -5.4318962e+00 -2.8806264e+00  1.4856791e+00 -3.4709885e+00
 -5.3373914e+00 -1.8126128e+00 -4.5233941e+00 -3.7963140e+00
 -5.1998544e+00 -4.5335765e+00 -4.0700588e+00 -1.1477866e+00
 -4.4243622e+00 -1.1634264e+00 -5.7829251e+00 -1.0392638e+00
 -6.3845034e+00 -8.2695514e-01 -4.6206260e+00 -1.8759423e+00
 -3.7744684e+00 -7.6427418e-01 -2.6814973e+00 -1.8289757e+00]",coughing
"[-4.9254095e+02  4.7725269e+01 -4.6913190e+00  1.8839542e+01
  9.2329674e+00 -2.5799642e+00  3.0820239e+00 -7.2175555e+00
 -1.9676118e+00  4.9842978e+00 -8.9244375e+00  2.9798815e+00
  6.1137152e+00 -4.9888483e-01  2.1339173e+00  7.6359196e+00
 -5.0658669e+00  1.1599492e+00 -5.5431609e+00 -7.3104702e-02
 -3.5901499e+00 -4.2390828e+00 -3.6374159e+00 -2.3429265e+00
 -2.7446210e+00 -1.3910703e-01 -4.7054286e+00 -1.7463227e-01
 -7.7210760e-01 -7.9850566e-01 -2.5815763e+00 -5.3592497e-01
 -1.1138582e+00 -4.8750299e-01 -1.0455348e+00 -2.1809435e-02
  1.3516831e+00 -5.3358382e-01 -1.9221841e-01 -6.8517452e-01]",coughing
"[-5.0699219e+02  5.1918755e+01  8.9775448e+00 -7.7395320e-01
  5.0346704e+00  5.3783298e+00  7.1508279e+00  8.8731489e+00
 -1.3003709e+00  6.0399070e+00  4.9013648e+00  1.5900091e+00
  1.2322336e+00  1.1284118e+01  6.9417195e+00  3.5483446e+00
  7.2509379e+00  5.5002613e+00  3.0081079e+00  3.9781015e+00
 -7.2279173e-01  3.0836244e+00  2.2806141e+00  2.4228683e+00
  2.0942781e+00  4.1616845e+00 -2.5442564e-01  4.6715913e+00
  4.0676794e+00  1.2909688e+00  2.1072373e+00  6.3311248e+00
  1.0083562e+00  2.7608089e+00  1.7265830e+00  3.0890121e+00
  1.5170140e+00  2.5022657e+00  2.9377444e+00  3.4699082e+00]",coughing
"[-2.1534705e+02  4.7788307e+01 -1.1567041e+01 -3.3346863e+00
 -4.2465029e+00 -1.1628017e-01 -1.2414084e+01  8.3396125e-01
  2.5645938e+00  5.0697579e+00  4.2452664e+00  5.8751750e+00
  2.5229716e+00  3.8127241e+00 -6.2789416e-01  3.4757991e+00
  2.8037283e+00  2.2882187e+00  1.1739763e+00  3.2204578e+00
  3.3209908e-01  1.4975162e+00 -2.9893849e-02  2.9158845e+00
 -1.7453650e+00 -3.0655956e-01 -3.0729425e-01  2.1324310e+00
 -1.2200795e+00  5.9506494e-01  9.7400057e-01  3.0375819e+00
  9.5845580e-01  1.5023850e+00  1.2448447e+00  1.2660563e+00
 -3.3314344e-01  1.4315104e+00 -4.9386448e-01  4.6459410e-01]",coughing
"[-3.3984506e+02  5.3511944e+01 -8.8224421e+00  6.5450106e+00
  2.4205339e+00 -2.7241987e-01 -1.9909697e+00 -2.0098289e+01
  5.6018744e+00  2.1373503e+01  1.1692618e+00 -1.9962419e+00
 -9.5717211e+00 -5.3938942e+00 -8.4140644e+00 -4.6538601e+00
 -9.6308784e+00  1.2718018e+00 -5.0879979e+00  3.4997957e+00
 -4.6832781e+00 -1.2387419e+00  3.3054814e+00 -5.8215885e+00
 -6.4868126e+00  5.1693463e-01 -2.6363013e+00 -6.5460339e+00
 -4.8540902e+00 -1.2823538e+00 -3.7485933e+00  2.8495824e+00
 -1.1090649e+00  3.5959554e-01 -2.0777318e+00  1.5911309e+00
 -8.9634806e-01 -8.5993838e-01 -4.6785092e+00 -8.1919289e-01]",coughing
"[-3.0498032e+02  8.2958672e+01  2.3764711e+01  1.0343267e+01
  1.3715893e+01  1.1296945e+01  4.4779778e+00  2.2393053e+00
  1.4127884e+00  1.5879607e+01  1.0541979e+01  9.1562042e+00
  6.7021031e+00  7.3096123e+00  6.9743924e+00  4.7606969e+00
  3.4368865e+00  1.7113345e+00  1.2462777e+00  2.5082662e+00
  7.4907416e-01  5.1721678e+00  1.6694319e+00  6.1046314e+00
  3.3988230e+00  3.8424535e+00  6.7549748e+00  2.6717987e+00
  8.5599828e-01  3.0934567e+00 -1.7233813e-01  3.6747143e-01
  3.0964759e-01  3.0009198e-01  2.0438163e-01  6.7383522e-01
  1.8525001e-01  1.4112374e+00  5.0875698e-03  2.4441341e-01]",coughing
"[-3.4920001e+02  6.6698997e+01 -1.3099735e+01 -6.3540516e+00
  1.9845709e+00  7.2297320e+00  1.8000454e-01 -2.8358705e+00
 -1.9652357e+01 -1.0865272e+01 -5.5293922e+00 -2.5745587e+00
 -9.5407829e+00 -8.7549143e+00 -5.6876411e+00 -5.5679374e+00
 -8.1680288e+00 -5.4766126e+00 -3.5162125e+00 -7.8706756e+00
 -8.9645472e+00 -4.0904431e+00 -4.6929674e+00 -8.9173239e-01
  5.5519283e-01 -2.4655490e+00 -1.8345572e-01  4.0890751e+00
 -1.6864251e+00  1.6665406e+00  6.3907582e-01 -5.6129080e-01
 -2.2545531e+00  7.3391294e-01 -3.8624461e+00  1.4174041e+00
 -2.3871884e+00 -1.9068924e+00 -3.0279541e+00 -1.7897989e+00]",coughing
"[-4.3985413e+02  8.1818794e+01  2.3070177e+01  1.8462889e+01
  1.5705741e+01  8.4164982e+00  6.6493440e+00  9.6550093e+00
  6.5540547e+00  5.8718457e+00  5.2226739e+00  3.7198853e+00
  4.3195457e+00  5.0693960e+00  2.3701353e+00  5.4261250e+00
  4.1630993e+00  1.9492865e+00  3.6194096e+00  2.5054066e+00
  2.1731840e-01  2.1502469e+00  2.0536098e+00  2.3889101e+00
  3.2745418e-01  2.4482801e+00  4.9772963e-01  1.6079425e+00
  2.9012942e+00  2.0055399e+00  9.2424768e-01  2.7131484e+00
  2.3446712e+00  1.8390810e+00  1.3882076e+00  1.7952592e+00
  3.8238427e-01  1.1743770e+00  6.4602441e-01  1.2803693e+00]",coughing
"[-3.6153738e+02  3.5156914e+01 -9.3681049e+00  6.9229662e-01
  2.9116957e+00  2.9195080e-02 -5.2356396e+00 -6.7569637e+00
 -7.9347768e+00  5.8949280e+00 -5.8486085e+00 -1.4353909e+00
  1.4810141e+00  6.7132372e-01 -4.4399204e+00  8.5149074e-01
 -1.4117355e+00 -2.1205776e+00 -3.9874128e-01  1.6109123e+00
 -1.2957911e+00  1.9216112e+00 -2.6873462e+00 -1.4026048e+00
 -1.9842874e+00  1.1809033e+00  1.2681512e+00  2.1434616e-01
 -8.6135194e-02  6.0846619e-02  4.5274585e-01  7.7116281e-01
 -8.2656860e-01  7.2937930e-01 -8.5189563e-01  4.5656890e-01
  4.0128422e-01  1.8777682e+00 -2.9916874e-01  4.5089358e-01]",coughing
"[-3.21788422e+02  7.13718796e+01 -4.35937157e+01 -5.57362080e+00
  2.85815525e+00 -2.47612839e+01 -1.01455345e+01  3.84895825e+00
 -1.17993116e+01 -9.65149784e+00 -3.81992388e+00 -1.07637444e+01
 -7.77161646e+00  1.47171021e+00 -2.71064258e+00 -1.41140473e+00
  5.61953902e-01 -4.68039465e+00 -9.36188042e-01  3.23803592e+00
  3.60278368e-01  3.36931896e+00  2.15833712e+00  7.65513599e-01
  4.51315975e+00  1.32848048e+00  2.93609202e-01  4.81405687e+00
  1.51881337e+00 -3.24285150e-01  2.08696699e+00  2.58159614e+00
  1.44661891e+00  1.54429686e+00  1.53466141e+00  1.91042721e+00
  1.44403839e+00  1.76133978e+00  1.11540151e+00  2.26977468e+00]",coughing
"[-281.05426      80.4668      -55.48673      -7.1692944    -1.3735496
  -31.7534       -9.70316       8.324263    -12.214562     -7.792985
   -1.6715819   -10.784977     -6.471093      3.275793     -4.178544
   -1.1745156     3.1163514    -2.6208773    -0.48759842    4.5055857
    1.1732543     4.148431      2.9528165     2.3753455     6.6447563
    3.5391676     0.9884921     5.3928967     2.599613      0.7103828
    2.6821883     3.4119055     0.9380879     1.5236244     2.2869883
    2.5844705     1.6199503     2.145731      0.49014887    1.3681158 ]",coughing
"[-3.1450912e+02  6.7273636e+01 -3.6075592e+01  2.1119597e+00
 -1.2354400e+01 -2.2100618e+01 -7.9766440e+00 -8.2713242e+00
 -8.8304272e+00  3.7760365e+00 -4.8093006e-01 -4.5512233e+00
 -3.0551639e+00 -8.3633083e-01 -4.3353291e+00 -1.5888491e+00
  1.4062917e+00 -1.6879790e+00 -1.6966353e-01  2.7532258e+00
 -6.3745165e-01  4.5430431e+00  1.7717279e+00 -5.4486108e-01
  4.3162427e+00  2.7731032e+00  3.2697538e-01  4.2041020e+00
 -2.2205479e-01  1.0274655e+00  2.5983944e+00  2.1621461e+00
  2.2544589e+00  1.9463633e+00  1.8058942e-01  1.4138989e+00
  1.3061732e-01  4.4927233e-01  8.9034706e-01  1.1127238e+00]",coughing
"[-7.1141547e+02  2.9440357e+01  4.2812166e+00 -1.3782328e+00
  2.2932765e+00  7.9811230e+00 -2.1350783e-01 -5.6129564e-03
 -2.7119451e+00 -2.0131114e-01 -2.3596354e-01 -4.3675914e-01
 -2.1558778e+00  2.2950807e+00 -2.0974624e+00  2.5443384e-01
  1.0855807e+00  6.4240865e-02 -1.1666203e-01  8.6386722e-01
 -6.5914452e-01  2.1567402e+00  9.4608337e-01 -4.0059832e-01
 -5.5481094e-01  1.4721510e+00 -6.1216766e-01  8.0859858e-01
  3.7433505e-01  7.9950953e-01 -3.9952338e-01  2.4617641e-01
 -4.7367865e-01  1.3726079e-01  8.7738889e-01  1.4550089e+00
  1.8431462e+00  1.2760363e+00  1.1042737e+00  5.8104676e-01]",coughing
"[-4.8189166e+02  8.8251015e+01  5.9351940e+00  4.4720564e+00
 -2.0125387e+00 -3.0788150e+00 -9.1931945e-01  1.1196858e+01
 -2.9700360e+00  3.8635571e+00 -7.6536837e+00  3.9273365e+00
  7.3424083e-01  6.6445642e+00 -2.0418437e+00  2.7484221e+00
 -2.8457041e+00  5.5439878e-02  4.8955874e+00 -1.4497656e+00
  1.6202189e+00  1.0105158e+00  2.1341250e+00  2.2133405e+00
 -2.9539959e+00 -5.1014342e+00 -9.3981987e-01  5.7960975e-01
  7.7687867e-02 -3.0837730e-02 -1.5351657e+00  2.5068712e+00
  1.9458008e+00  1.7228255e+00  1.4503670e+00  2.9279225e+00
  1.1832117e+00  2.3266749e+00  3.0460074e+00  1.5345290e+00]",coughing
"[-6.0418872e+02  1.9832817e+01  5.0692682e+00  5.4996982e+00
  3.8181949e+00  3.6376359e+00  2.6614904e+00 -2.4315242e-01
 -2.9327652e+00  2.5803244e+00  9.3357652e-01  3.9098568e-02
 -6.6543514e-01  4.1159725e-01  2.2215300e+00  1.1956061e+00
 -9.5475173e-01  4.5512259e-01 -3.1489018e-01  6.0329121e-01
 -2.2653675e-01 -8.5559338e-01 -8.0892718e-01 -8.8806048e-02
  7.7749282e-01 -7.1344799e-01  3.6075005e-01 -7.4622028e-02
 -8.8367708e-02  5.1956135e-01  1.4758374e-01  2.1422142e-01
  1.7218113e-02  1.0286986e+00 -4.7196329e-01  6.9679022e-01
  3.6677876e-01  1.2430723e+00  4.6331170e-01  1.6876057e+00]",coughing
"[-442.63303     67.548004     4.563066    15.293437    11.860723
   12.83458      3.0452032   -1.7505469   -6.4238157    4.625111
   -1.3878926    1.5889074    4.352623     9.382247     5.2736773
    4.6945233    1.664214     6.510133     2.4299326    1.8125986
    5.2149544    5.5551577    2.9975743    3.857573     6.7009683
    5.3035464    1.8217093    4.079719     3.1533325    1.5756716
    3.245198     2.5928457    1.4290547    3.9622893    3.3182826
    3.644196     2.8938694    3.5862088    3.5945706    2.9414287]",coughing
"[-4.9951770e+02  2.1108999e+01  1.2823061e+00  1.0157042e+00
  2.8266621e+00 -5.4222810e-01  2.1345155e+00  3.7372451e+00
 -3.6245663e+00 -8.3713847e-01  7.4760956e-01  1.3033928e+00
  6.4342421e-01 -1.1061835e+00 -1.1297101e+00  1.0982497e+00
 -5.4617757e-01  6.6849911e-01  1.1684338e+00  1.1107169e-01
 -8.2581609e-01  3.1296712e-01  4.9271986e-01  3.5936320e-01
 -6.7961937e-01  1.0294238e+00  2.9185261e-03  9.7442549e-01
  5.2694476e-01  2.2277536e+00  1.3279960e-01  7.6711756e-01
  4.2430818e-01  6.8696064e-01  3.1593901e-01  9.9090886e-01
 -4.2114699e-01  4.7418442e-01  2.8273275e-01  6.3196594e-01]",coughing
"[-5.3610425e+02  2.8058128e+01  1.8984290e+00  1.6422310e+00
  1.0286574e+00  4.5955424e+00 -2.2044010e-01 -3.7813280e+00
 -8.2391682e+00 -4.2423363e+00 -2.7886393e+00 -2.9822209e+00
 -3.8424239e+00  3.0518589e+00 -2.1992407e+00 -2.3886509e+00
  9.5056146e-01 -1.7988030e+00 -3.0785629e-01  3.6537538e+00
 -2.0035441e+00  1.2884359e+00  1.3914840e+00  1.6542997e+00
  3.7575105e-01  1.2563200e-01 -3.4308609e-02  1.3338685e+00
  1.3729072e+00  1.4022005e+00  2.2902408e+00  2.1560025e+00
  1.7297400e+00  1.8974347e+00  4.7179109e-01  1.9300081e+00
 -1.1718889e-01  6.0729903e-01  1.5104306e-01  4.1821226e-01]",coughing
"[-6.0777777e+02  1.0902143e+01 -1.6496582e+00  1.1598046e+00
 -1.3375303e+00 -8.0137086e-01 -2.3557061e-01 -3.2317790e-01
 -2.0597339e+00  2.2752583e-01 -1.8405733e+00  5.7383485e-02
  1.0076948e+00 -5.1485276e-01  3.7622076e-01  5.4975665e-01
 -8.3976370e-01 -8.5848194e-01 -4.5855857e-02  3.9560336e-01
 -7.9467154e-01 -2.3732983e-01 -3.1224406e-01  1.3502802e-01
 -6.8031192e-01  1.4218524e+00 -2.5576276e-01  4.6894929e-01
  4.3783012e-01  4.9715441e-02  2.2523709e-01  2.3497602e-01
  4.7370546e-02  2.2110006e-01 -6.9213378e-01  1.2143732e-01
  1.9716743e-01 -6.5898895e-04  6.5495718e-01  2.5469774e-01]",coughing
"[-5.8061658e+02  1.8835983e+01 -6.4336672e+00 -1.9500972e+00
  5.4272068e-01  3.9166474e+00 -2.9979055e+00 -6.2107420e+00
 -4.9274669e+00  1.4562106e+00 -1.0544976e+00  1.6337984e+00
  7.8166717e-01  3.3708575e+00 -9.9149346e-01  8.8031614e-01
  1.0453833e+00  2.9117091e+00 -1.8199122e-01  1.9765515e+00
  9.3872786e-01  1.8988833e+00  1.3187273e+00  9.4459504e-01
  5.4690319e-01  5.8665758e-01  1.6357811e-01  1.8283143e+00
  5.5328029e-01  4.9772492e-01 -6.2928498e-02  5.3176600e-01
  3.2060412e-01  7.5663328e-01 -1.4029677e-01  7.7571911e-01
  2.1517016e-01  9.2372751e-01 -1.3991188e-01  4.0057427e-01]",coughing
"[-5.4057758e+02  1.5779195e+01 -6.0880151e+00 -3.9675236e+00
 -5.9077306e+00  1.7600288e+00  3.5660413e-01 -2.3332085e-01
  4.0547462e+00  1.9799277e+00 -1.4515756e+00  1.8689475e+00
 -2.9543171e-02  4.6487924e-01 -1.6171538e+00  1.4086182e+00
  1.0656594e+00  1.7323083e+00 -8.6534053e-01  1.0883321e+00
  3.1177819e-01  1.2897909e+00  7.0916760e-01  7.8638569e-02
  5.4058164e-01  8.4142941e-01 -3.7306428e-01  8.9046592e-01
  6.3858140e-01  1.7161281e-01 -9.5959254e-02  5.8184391e-01
 -2.2530051e-01  7.2753382e-01  4.5501477e-01  3.2284477e-01
 -1.2798244e-01  3.3434290e-01 -4.6370465e-01 -6.4600509e-01]",coughing
"[-5.4306165e+02  4.6341915e+01 -2.7239759e+00  1.5418066e+01
  7.6573100e+00  1.7871580e+01  3.4044406e+00  1.4782950e+00
 -2.2503519e+00  6.1312537e+00  3.5089548e+00 -1.2745886e+00
  3.3831050e+00  2.7233379e+00  2.2974410e+00  3.2327299e+00
  1.2888883e+00  9.2104542e-01  3.2409251e+00  1.9915781e+00
  1.7495980e+00  9.0266949e-01  7.7554631e-01  1.1786427e+00
  1.3480023e+00  1.4591339e+00  3.5523901e+00  2.2412801e+00
  6.1787987e-01  7.7652842e-01  4.8866057e-01  4.5380133e-01
  3.9948261e-01  3.1098950e-01  1.6787759e+00  1.4421716e+00
  4.5664325e-01  1.4346704e+00  9.1835773e-01  1.9261606e+00]",coughing
